"","Date","Rot Home Team","Rot Away Team","Back2Back Home","HomeTeam","AwayTeam","1st Home Team Goals","1st Away Team Goals","2nd Home Team Goals","2nd Away Team Goals","3rd Home Team Goals","3rd Away Team Goals","FinalHome","FinalAway","Open Home Team","Open Away Team","CloseHomeTeam","CloseAwayTeam","Puck Line Home Team","Puck Line Away Team","...12","...33","Open OU","...14","...35","Close OU","...16","...37","DeadlineInd","Year","Game ID","DeadlineDays","Back2Back Away","BoundaryProbHome","BoundaryProbAway","BoundaryProbHome2","BoundaryProbAway2","Back2BackHome","Back2BackAway","ID"
"1",2019-10-02,2,1,1,"Toronto","Ottawa",0,1,4,1,1,1,5,3,-300,245,-310,270,-1.5,1.5,-125,105,6,-110,-110,6.5,-105,-115,0,0,1,-145,1,0.75609756097561,0.27027027027027,0.736673089274245,0.263326910725755,0,0,1
"2",2019-10-02,4,3,1,"St.Louis","Washington",2,1,0,1,0,0,2,3,-135,115,-150,135,-1.5,1.5,185,-210,5.5,-110,-110,5.5,-110,-110,0,0,2,-145,1,0.6,0.425531914893617,0.5850622406639,0.4149377593361,0,0,2
"3",2019-10-02,6,5,1,"Edmonton","Vancouver",1,0,0,1,2,1,3,2,-125,105,-126,116,-1.5,1.5,195,-220,5.5,-110,-110,5.5,-105,-115,0,0,3,-145,1,0.557522123893805,0.462962962962963,0.546330496226112,0.453669503773888,0,0,3
"4",2019-10-02,8,7,1,"Vegas","SanJose",2,1,1,0,1,0,4,1,-175,151,-190,170,-1.5,1.5,140,-160,6,-110,-110,6.5,100,-120,0,0,4,-145,1,0.655172413793103,0.37037037037037,0.638854296388543,0.361145703611457,0,0,4
"5",2019-10-03,10,9,1,"TampaBay","Florida",1,0,1,1,3,1,5,2,-185,160,-175,157,-1.5,1.5,150,-170,6.5,-110,-110,6.5,-115,-105,0,0,5,-144,1,0.636363636363636,0.389105058365759,0.620558813383925,0.379441186616075,0,0,5
"6",2019-10-03,12,11,1,"Carolina","Montreal",1,0,1,3,1,0,4,3,-155,135,-155,140,-1.5,1.5,165,-185,5.5,-110,-110,6,-120,100,0,0,6,-144,1,0.607843137254902,0.416666666666667,0.593301435406699,0.406698564593302,0,0,6
"7",2019-10-03,14,13,1,"NYRangers","Winnipeg",1,1,2,2,3,1,6,4,-130,110,-112,102,-1.5,1.5,220,-250,6,-110,-110,6,105,-125,0,0,7,-144,1,0.528301886792453,0.495049504950495,0.516246805403432,0.483753194596568,0,0,7
"8",2019-10-03,16,15,1,"Pittsburgh","Buffalo",0,1,1,2,0,0,1,3,-170,148,-185,165,-1.5,1.5,140,-160,6.5,-110,-110,6.5,-120,100,0,0,8,-144,1,0.649122807017544,0.377358490566038,0.63237665269268,0.36762334730732,0,0,8
"9",2019-10-03,18,17,1,"Nashville","Minnesota",0,0,1,2,4,0,5,2,-180,155,-165,150,-1.5,1.5,170,-190,5.5,-110,-110,5.5,-130,110,0,0,9,-144,1,0.622641509433962,0.4,0.608856088560886,0.391143911439114,0,0,9
"10",2019-10-03,20,19,1,"Dallas","Boston",0,2,1,0,0,0,1,2,-110,-110,-105,-105,1.5,-1.5,-290,245,5.5,-110,-110,5.5,-125,105,0,0,10,-144,1,0.51219512195122,0.51219512195122,0.5,0.5,0,0,10
"11",2019-10-03,22,21,1,"Colorado","Calgary",2,1,2,2,1,0,5,3,-135,115,-120,110,-1.5,1.5,210,-240,6,-110,-110,6.5,-110,-110,0,0,11,-144,1,0.545454545454545,0.476190476190476,0.533898305084746,0.466101694915254,0,0,11
"12",2019-10-03,24,23,1,"Anaheim","Arizona",1,0,1,1,0,0,2,1,-120,100,-108,-102,-1.5,1.5,230,-260,5.5,-110,-110,5.5,-135,115,0,0,12,-144,1,0.519230769230769,0.504950495049505,0.506971556051311,0.493028443948689,0,0,12
"13",2019-10-04,26,25,1,"Philadelphia","Chicago",1,1,2,1,1,1,4,3,-115,-105,-117,107,-1.5,1.5,210,-240,6.5,-110,-110,6.5,-110,-110,0,0,13,-143,1,0.539170506912442,0.483091787439614,0.52742873320412,0.47257126679588,0,0,13
"14",2019-10-04,28,27,1,"Columbus","Toronto",0,1,1,1,0,2,1,4,125,-145,135,-150,1.5,-1.5,-190,170,6.5,-110,-110,6.5,100,-120,0,0,14,-143,1,0.425531914893617,0.6,0.4149377593361,0.5850622406639,0,0,14
"15",2019-10-04,30,29,1,"NYIslanders","Washington",1,1,0,1,0,0,1,2,-130,110,-120,110,-1.5,1.5,220,-250,6,-110,-110,5.5,-110,-110,0,0,15,-143,1,0.545454545454545,0.476190476190476,0.533898305084746,0.466101694915254,0,0,15
"16",2019-10-04,32,31,1,"NewJersey","Winnipeg",1,0,3,1,0,3,4,5,-143,123,-145,132,-1.5,1.5,175,-200,6.5,-110,-110,6.5,-105,-115,0,0,16,-143,0,0.591836734693878,0.431034482758621,0.578603371173031,0.421396628826969,0,1,16
"17",2019-10-04,34,33,1,"SanJose","Vegas",0,2,0,2,1,1,1,5,103,-123,110,-120,1.5,-1.5,-215,190,6.5,-110,-110,6.5,-115,-105,0,0,17,-143,1,0.476190476190476,0.545454545454545,0.466101694915254,0.533898305084746,0,0,17
"18",2019-10-05,52,51,1,"Ottawa","NYRangers",1,1,0,2,0,1,1,4,110,-130,118,-128,1.5,-1.5,-230,200,6.5,-110,-110,6.5,100,-120,0,0,18,-142,1,0.458715596330275,0.56140350877193,0.449668665194068,0.550331334805933,0,0,18
"19",2019-10-05,54,53,1,"Buffalo","NewJersey",2,0,3,1,2,1,7,2,-133,113,-115,105,-1.5,1.5,230,-260,6.5,-110,-110,5.5,100,-120,0,0,19,-142,0,0.534883720930233,0.48780487804878,0.523017193566278,0.476982806433722,0,1,19
"20",2019-10-05,56,55,1,"Florida","TampaBay",0,0,3,1,1,2,4,3,-115,-105,115,-125,1.5,-1.5,-230,200,6.5,-110,-110,6.5,100,-120,0,0,20,-142,1,0.465116279069767,0.555555555555556,0.455696202531646,0.544303797468354,0,0,20
"21",2019-10-05,58,57,0,"Washington","Carolina",1,0,1,0,0,2,2,3,-130,110,-115,105,-1.5,1.5,210,-240,6,-110,-110,6,-105,-115,0,0,21,-142,1,0.534883720930233,0.48780487804878,0.523017193566278,0.476982806433722,1,0,21
"22",2019-10-05,60,59,0,"Toronto","Montreal",2,1,1,0,2,4,5,6,-170,148,-155,140,-1.5,1.5,160,-180,6.5,-110,-110,6.5,110,-130,0,0,22,-142,1,0.607843137254902,0.416666666666667,0.593301435406699,0.406698564593302,1,0,22
