"","main_intercept","Team","intercept","DeadlineInd","deadline_indicator","DeadlineDays","deadline_days","DeadlineInd:DeadlineDays","deadline_interaction","Back2BackHome","Back2BackAway","beforedeadline","atdeadline","predictedend","firstlinepredictedend","diffat0","diffat40"
"1",0.5215524,"h1a121nhl_2021_neat$HomeTeamAnaheim",-0.09167085,0,-0.01197874,5.456383e-05,-0.0006929342,0.0001317811,0,"-1.834825e-02"," 2.006142e-02",0.42988155,0.41790281,0.40169195336,0.40945369816,-0.01197874,-0.00776174479999997
"2",0.5215524,"h1a121nhl_2021_neat$HomeTeamArizona",-0.02504406,0,-0.004059787,5.456383e-05,-0.0001774087,0.0001317811,0,"-1.834825e-02"," 2.006142e-02",0.49650834,0.492448553,0.49273451236,0.49257730416,-0.00405978699999998,0.000157208199999981
"3",0.5215524,"h1a121nhl_2021_neat$HomeTeamBoston",0.04178967,0,0,5.456383e-05,-0.0003289766,0.0001317811,0.0008590985,"-1.834825e-02"," 2.006142e-02",0.56334207,0.56334207,0.58626900856,0.55456086136,0,0.0317081472
"4",0.5215524,"h1a121nhl_2021_neat$HomeTeamBuffalo",-0.1899602,0,0,5.456383e-05,-0.001655953,0.0001317811,0.0003912519,"-1.834825e-02"," 2.006142e-02",0.3315922,0.3315922,0.29708480256,0.28034774656,0,0.016737056
"5",0.5215524,"h1a121nhl_2021_neat$HomeTeamCalgary",0,0,0,5.456383e-05,-0.0001154773,0.0001317811,0,"-1.834825e-02"," 2.006142e-02",0.5215524,0.5215524,0.52382016416,0.51960316896,0,0.00421699519999996
"6",0.5215524,"h1a121nhl_2021_neat$HomeTeamCarolina",0.08403377,0,0.005938417,5.456383e-05,0.0002866978,0.0001317811,0.0003869569,"-1.834825e-02"," 2.006142e-02",0.60558617,0.611524587,0.63904457516,0.61650654216,0.00593841699999997,0.022538033
"7",0.5215524,"h1a121nhl_2021_neat$HomeTeamChicago",-0.02303351,0,-0.006090058,5.456383e-05,0.0004815545,0.0001317811,-0.002078704,"-1.834825e-02"," 2.006142e-02",0.49851889,0.492428832,0.44728308576,0.51567467656,-0.00609005800000001,-0.0683915908000001
"8",0.5215524,"h1a121nhl_2021_neat$HomeTeamColorado",0.1562001,0,0,5.456383e-05,0.0003229455,0.0001317811,0,"-1.834825e-02"," 2.006142e-02",0.6777525,0.6777525,0.69404979376,0.68983279856,0,0.00421699519999996
"9",0.5215524,"h1a121nhl_2021_neat$HomeTeamColumbus",-0.04135284,0,-0.03585543,5.456383e-05,-0.0003699552,0.0001317811,-0.001192019,"-1.834825e-02"," 2.006142e-02",0.48019956,0.44434413,0.40032399336,0.47010703616,-0.03585543,-0.0697830428
"10",0.5215524,"h1a121nhl_2021_neat$HomeTeamDallas",0.01522586,0,0,5.456383e-05,0,0.0001317811,0,"-1.834825e-02"," 2.006142e-02",0.53677826,0.53677826,0.54274129776,0.53852430256,0,0.00421699519999996
