"","Date","Rot Home Team","Rot Away Team","Back2Back Home","HomeTeam","AwayTeam","1st Home Team Goals","1st Away Team Goals","2nd Home Team Goals","2nd Away Team Goals","3rd Home Team Goals","3rd Away Team Goals","FinalHome","FinalAway","Open Home Team","Open Away Team","CloseHomeTeam","CloseAwayTeam","Puck Line Home Team","Puck Line Away Team","...12","...33","Open OU","...14","...35","Close OU","...16","...37","DeadlineInd","Year","Game ID","DeadlineDays","Back2Back Away","BoundaryProbHome","BoundaryProbAway","BoundaryProbHome2","BoundaryProbAway2","Back2BackHome","Back2BackAway","ID"
"1",2021-01-13,42,41,1,"Philadelphia","Pittsburgh",2,1,1,1,3,1,"6","3","100","-110",-105,-115,-1.5,1.5,260,-310,6,-110,-110,6,-125,105,0,1,1,-89,1,0.51219512195122,0.534883720930233,0.489165763813651,0.510834236186349,0,0,1
"2",2021-01-13,44,43,1,"Toronto","Montreal",1,2,2,1,1,1,"1","0","-145","132",-140,120,-1.5,1.5,195,-220,6,-110,-110,6,-110,-110,0,1,2,-89,1,0.583333333333333,0.454545454545455,0.562043795620438,0.437956204379562,0,0,2
"3",2021-01-13,46,45,1,"TampaBay","Chicago",3,0,1,0,1,1,"5","1","-260","230",-250,210,-1.5,1.5,105,-125,6.5,-110,-110,6.5,-110,-110,0,1,3,-89,1,0.714285714285714,0.32258064516129,0.688888888888889,0.311111111111111,0,0,3
"4",2021-01-13,48,47,1,"Edmonton","Vancouver",0,1,1,1,2,3,"3","5","-150","135",-150,130,-1.5,1.5,190,-215,5.5,-110,-110,6.5,-120,100,0,1,4,-89,1,0.6,0.434782608695652,0.579831932773109,0.420168067226891,0,0,4
"5",2021-01-13,50,49,1,"Colorado","St.Louis",1,2,0,0,0,2,"1","4","-150","135",-145,125,-1.5,1.5,175,-200,5.5,-110,-110,6,-110,-110,0,1,5,-89,1,0.591836734693878,0.444444444444444,0.571115973741794,0.428884026258206,0,0,5
"6",2021-01-14,52,51,1,"NewJersey","Boston",0,1,0,0,2,1,"2","3","118","-138",160,-180,1.5,-1.5,-170,150,5.5,-110,-110,5.5,-115,-105,0,1,6,-88,1,0.384615384615385,0.642857142857143,0.374331550802139,0.625668449197861,0,0,6
"7",2021-01-14,54,53,1,"Buffalo","Washington",1,2,1,2,2,2,"4","6","-133","113",118,-128,1.5,-1.5,-210,185,6,-110,-110,6,-120,100,0,1,7,-88,1,0.458715596330275,0.56140350877193,0.449668665194068,0.550331334805933,0,0,7
"8",2021-01-14,56,55,1,"NYRangers","NYIslanders",0,3,0,1,0,0,"0","4","-110","-110",-107,-103,1.5,-1.5,-280,240,5.5,-110,-110,6,-115,-105,0,1,8,-88,1,0.516908212560386,0.507389162561576,0.504646624227499,0.495353375772501,0,0,8
"9",2021-01-14,60,59,1,"Detroit","Carolina",0,1,0,0,0,2,"0","3","172","-205",195,-215,1.5,-1.5,-145,125,6,-110,-110,6,-120,100,0,1,9,-88,1,0.338983050847458,0.682539682539683,0.331840927047669,0.668159072952331,0,0,9
"10",2021-01-14,62,61,1,"Winnipeg","Calgary",1,3,2,0,0,0,"4","3","-110","-110",109,-119,1.5,-1.5,-260,230,5.5,-110,-110,5.5,100,-120,0,1,10,-88,1,0.478468899521531,0.54337899543379,0.468238865963952,0.531761134036048,0,0,10
"11",2021-01-14,64,63,1,"Nashville","Columbus",0,1,1,0,2,0,"3","1","-120","100",-113,103,-1.5,1.5,225,-255,5.5,-110,-110,5.5,-115,-105,0,1,11,-88,1,0.530516431924883,0.492610837438424,0.518524378941658,0.481475621058342,0,0,11
"12",2021-01-14,66,65,1,"Arizona","SanJose",0,2,1,0,2,1,"3","4","-115","-105",-130,120,-1.5,1.5,200,-230,5.5,-110,-110,5.5,-120,100,0,1,12,-88,1,0.565217391304348,0.454545454545455,0.554263565891473,0.445736434108527,0,0,12
"13",2021-01-14,68,67,0,"Edmonton","Vancouver",2,0,2,2,1,0,"5","2","-120","100",-128,118,-1.5,1.5,201,-231,6,-110,-110,6,110,-130,0,1,13,-88,0,0.56140350877193,0.458715596330275,0.550331334805933,0.449668665194068,1,1,13
"14",2021-01-14,70,69,1,"LosAngeles","Minnesota",1,1,2,0,0,2,"3","4","-105","-115",125,-135,1.5,-1.5,-225,200,5.5,-110,-110,5.5,-120,100,0,1,14,-88,1,0.444444444444444,0.574468085106383,0.436194895591647,0.563805104408353,0,0,14
