"","Date","Rot Home Team","Rot Away Team","Back2Back Home","HomeTeam","AwayTeam","1st Home Team Goals","1st Away Team Goals","2nd Home Team Goals","2nd Away Team Goals","3rd Home Team Goals","3rd Away Team Goals","FinalHome","FinalAway","Open Home Team","Open Away Team","CloseHomeTeam","CloseAwayTeam","Puck Line Home Team","Puck Line Away Team","...12","...33","Open OU","...14","...35","Close OU","...16","...37","DeadlineInd","Year","Game ID","DeadlineDays","Back2Back Away","BoundaryProbHome","BoundaryProbAway","BoundaryProbHome2","BoundaryProbAway2","Back2BackHome","Back2BackAway","ID"
"1",2016-10-12,2,1,1,"Ottawa","Toronto",2,2,1,2,1,0,5,4,-134,114,-141,121,-1.5,1.5,205,-245,5.5,-110,-110,5.5,-125,105,0,0,1,-140,1,0.5850622406639,0.452488687782805,0.563887732759089,0.436112267240911,0,0,1
"2",2016-10-12,4,3,1,"Chicago","St.Louis",1,0,1,2,0,3,2,5,-128,108,-121,101,-1.5,1.5,220,-270,5,100,-120,5,100,-120,0,0,2,-140,1,0.547511312217195,0.497512437810945,0.523922362723767,0.476077637276233,0,0,2
"3",2016-10-12,6,5,1,"Edmonton","Calgary",3,1,2,2,2,1,7,4,-128,108,-123,103,-1.5,1.5,235,-295,5.5,-120,100,5.5,-135,115,0,0,3,-140,1,0.551569506726457,0.492610837438424,0.528232033679579,0.471767966320421,0,0,3
"4",2016-10-12,8,7,1,"SanJose","LosAngeles",1,1,0,0,1,0,2,1,-124,104,-163,143,-1.5,1.5,200,-240,5,100,-120,5,100,-120,0,0,4,-140,1,0.619771863117871,0.411522633744856,0.60096496684823,0.39903503315177,0,0,4
"5",2016-10-13,52,51,1,"Columbus","Boston",2,0,1,3,0,3,3,6,-115,-105,-140,120,-1.5,1.5,210,-260,5.5,-135,115,5.5,-130,110,0,0,5,-139,1,0.583333333333333,0.454545454545455,0.562043795620438,0.437956204379562,0,0,5
"6",2016-10-13,54,53,1,"Buffalo","Montreal",0,1,0,1,1,2,1,4,-115,-105,111,-131,1.5,-1.5,-270,220,5.5,-135,115,5.5,-140,120,0,0,6,-139,1,0.4739336492891,0.567099567099567,0.455253148341578,0.544746851658422,0,0,6
"7",2016-10-13,56,55,1,"NYRangers","NYIslanders",1,0,1,0,3,3,5,3,-135,115,-130,110,-1.5,1.5,205,-245,5.5,-140,120,5,120,-140,0,0,7,-139,1,0.565217391304348,0.476190476190476,0.542743538767396,0.457256461232604,0,0,7
"8",2016-10-13,58,57,1,"TampaBay","Detroit",0,2,2,1,4,1,6,4,-170,150,-173,153,-1.5,1.5,170,-200,5,115,-135,5,-110,-110,0,0,8,-139,1,0.633699633699634,0.395256916996047,0.615866270807244,0.384133729192756,0,0,8
"9",2016-10-13,60,59,1,"Florida","NewJersey",1,1,0,0,0,0,2,1,-145,125,-153,133,-1.5,1.5,200,-240,5,-125,105,5,-145,125,0,0,9,-139,1,0.604743083003953,0.429184549356223,0.584898849858078,0.415101150141922,0,0,9
"10",2016-10-13,62,61,1,"Winnipeg","Carolina",1,1,0,2,3,1,5,4,-140,120,-124,104,-1.5,1.5,240,-300,5,110,-130,5,115,-135,0,0,10,-139,1,0.553571428571429,0.490196078431373,0.530358939953036,0.469641060046964,0,0,10
