"","Date","Rot Home Team","Rot Away Team","Back2Back Home","HomeTeam","AwayTeam","1st Home Team Goals","1st Away Team Goals","2nd Home Team Goals","2nd Away Team Goals","3rd Home Team Goals","3rd Away Team Goals","FinalHome","FinalAway","Open Home Team","Open Away Team","CloseHomeTeam","CloseAwayTeam","Puck Line Home Team","Puck Line Away Team","...12","...33","Open OU","...14","...35","Close OU","...16","...37","DeadlineInd","Year","Game ID","DeadlineDays","Back2Back Away","BoundaryProbHome","BoundaryProbAway","BoundaryProbHome2","BoundaryProbAway2","Back2BackHome","Back2BackAway","ID"
"1",2018-10-03,2,1,1,"Toronto","Montreal",1,1,1,1,0,0,3,2,-220,184,-240,210,-1.5,1.5,105,-125,6,-110,-110,6,-110,-110,0,0,1,-145,1,0.705882352941177,0.32258064516129,0.686346863468635,0.313653136531365,0,0,1
"2",2018-10-03,4,3,1,"Washington","Boston",2,0,4,0,1,0,7,0,-135,115,-115,105,-1.5,1.5,230,-290,5.5,-110,-110,5.5,100,-120,0,0,2,-145,1,0.534883720930233,0.48780487804878,0.523017193566278,0.476982806433722,0,0,2
"3",2018-10-03,6,5,1,"Vancouver","Calgary",1,0,0,0,4,2,5,2,110,-130,120,-130,1.5,-1.5,-240,200,5.5,-110,-110,5.5,-105,-115,0,0,3,-145,1,0.454545454545455,0.565217391304348,0.445736434108527,0.554263565891473,0,0,3
"4",2018-10-03,8,7,1,"SanJose","Anaheim",1,1,1,1,0,3,2,5,-170,148,-180,160,-1.5,1.5,165,-185,5.5,-110,-110,5.5,-120,100,0,0,4,-145,1,0.642857142857143,0.384615384615385,0.625668449197861,0.374331550802139,0,0,4
"5",2018-10-04,52,51,1,"Pittsburgh","Washington",2,3,3,1,1,2,7,6,-160,140,-160,145,-1.5,1.5,170,-200,6,-110,-110,6,105,-125,0,0,5,-144,0,0.615384615384615,0.408163265306122,0.601226993865031,0.398773006134969,0,1,5
"6",2018-10-04,54,53,1,"Carolina","NYIslanders",0,0,0,1,1,0,1,2,-140,120,-165,150,-1.5,1.5,170,-200,6,-110,-110,6.5,-125,105,0,0,6,-144,1,0.622641509433962,0.4,0.608856088560886,0.391143911439114,0,0,6
"7",2018-10-04,56,55,1,"Buffalo","Boston",0,2,0,1,0,1,0,4,100,-120,125,-135,1.5,-1.5,-215,185,5.5,-110,-110,6,-120,100,0,0,7,-144,0,0.444444444444444,0.574468085106383,0.436194895591647,0.563805104408353,0,1,7
"8",2018-10-04,58,57,1,"Detroit","Columbus",0,1,2,1,0,0,2,3,120,-140,120,-130,1.5,-1.5,-260,210,5.5,-110,-110,5.5,105,-125,0,0,8,-144,1,0.454545454545455,0.565217391304348,0.445736434108527,0.554263565891473,0,0,8
"9",2018-10-04,60,59,1,"Ottawa","Chicago",3,2,0,0,0,1,3,4,100,-120,102,-112,1.5,-1.5,-265,215,6,-110,-110,6,-115,-105,0,0,9,-144,1,0.495049504950495,0.528301886792453,0.483753194596568,0.516246805403432,0,0,9
"10",2018-10-04,62,61,1,"NYRangers","Nashville",0,0,1,1,1,2,2,3,-160,140,160,-180,1.5,-1.5,-200,170,6,-110,-110,6,-120,100,0,0,10,-144,1,0.384615384615385,0.642857142857143,0.374331550802139,0.625668449197861,0,0,10
"11",2018-10-04,64,63,1,"St.Louis","Winnipeg",0,1,0,0,1,4,1,5,-130,110,102,-112,1.5,-1.5,-290,230,5.5,-110,-110,6,-110,-110,0,0,11,-144,1,0.495049504950495,0.528301886792453,0.483753194596568,0.516246805403432,0,0,11
"12",2018-10-04,66,65,1,"Dallas","Arizona",0,0,3,0,0,0,3,0,-185,160,-180,160,-1.5,1.5,150,-170,5.5,-110,-110,6,-130,110,0,0,12,-144,1,0.642857142857143,0.384615384615385,0.625668449197861,0.374331550802139,0,0,12
"13",2018-10-04,68,67,1,"Colorado","Minnesota",1,1,1,0,2,0,4,1,-160,140,-106,-104,1.5,-1.5,-290,230,5.5,-110,-110,6,-120,100,0,0,13,-144,1,0.514563106796116,0.509803921568627,0.502322988292139,0.497677011707861,0,0,13
"14",2018-10-04,70,69,1,"Vegas","Philadelphia",1,2,0,3,1,0,2,5,-155,135,-190,170,-1.5,1.5,167,-187,6,-110,-110,6,-105,-115,0,0,14,-144,1,0.655172413793103,0.37037037037037,0.638854296388543,0.361145703611457,0,0,14
"15",2018-10-05,2,1,0,"Columbus","Carolina",1,1,0,1,0,1,1,3,-160,140,-150,135,-1.5,1.5,180,-210,5.5,-110,-110,6,-125,105,0,0,15,-143,0,0.6,0.425531914893617,0.5850622406639,0.4149377593361,1,1,15
"16",2018-10-05,4,3,1,"LosAngeles","SanJose",1,2,1,0,0,0,2,3,-125,105,110,-120,1.5,-1.5,-290,230,5.5,-110,-110,5.5,-130,110,0,0,16,-143,1,0.476190476190476,0.545454545454545,0.466101694915254,0.533898305084746,0,0,16
"17",2018-10-06,52,51,1,"NewJersey","Edmonton",1,1,2,0,2,1,5,2,120,-140,100,-110,1.5,-1.5,-290,230,6,-110,-110,6,-110,-110,0,0,17,-142,1,0.5,0.523809523809524,0.488372093023256,0.511627906976744,0,0,17
"18",2018-10-06,54,53,1,"Toronto","Ottawa",0,1,3,2,0,2,3,5,-265,218,-290,250,-1.5,1.5,-115,-105,6,100,-120,6,100,-120,0,0,18,-142,1,0.743589743589744,0.285714285714286,0.722419928825623,0.277580071174377,0,0,18
"19",2018-10-06,56,55,1,"Dallas","Winnipeg",2,0,1,1,2,0,5,1,-122,102,100,-110,1.5,-1.5,-295,235,6,-110,-110,6,-110,-110,0,0,19,-142,1,0.5,0.523809523809524,0.488372093023256,0.511627906976744,0,0,19
"20",2018-10-06,58,57,1,"Buffalo","NYRangers",1,0,1,0,1,1,3,1,-125,105,-130,120,-1.5,1.5,210,-260,6,-115,-105,6,-115,-105,0,0,20,-142,1,0.565217391304348,0.454545454545455,0.554263565891473,0.445736434108527,0,0,20
"21",2018-10-06,60,59,1,"Pittsburgh","Montreal",0,2,1,2,0,1,1,5,-265,218,-250,220,-1.5,1.5,115,-135,6,100,-120,6,-105,-115,0,0,21,-142,1,0.714285714285714,0.3125,0.695652173913043,0.304347826086956,0,0,21
"22",2018-10-06,62,61,1,"TampaBay","Florida",0,1,0,0,1,0,2,1,-185,160,-180,160,-1.5,1.5,160,-180,6,-110,-110,6.5,-115,-105,0,0,22,-142,1,0.642857142857143,0.384615384615385,0.625668449197861,0.374331550802139,0,0,22
"23",2018-10-06,64,63,1,"NYIslanders","Nashville",1,2,2,2,0,0,3,4,135,-155,135,-150,1.5,-1.5,-210,180,6,-110,-110,6,-110,-110,0,0,23,-142,1,0.425531914893617,0.6,0.4149377593361,0.5850622406639,0,0,23
"24",2018-10-06,66,65,1,"St.Louis","Chicago",2,1,0,2,2,1,4,5,-150,130,-174,157,-1.5,1.5,170,-200,6,-120,100,6,-120,100,0,0,24,-142,1,0.635036496350365,0.389105058365759,0.62006711223273,0.37993288776727,0,0,24
"25",2018-10-06,68,67,1,"Minnesota","Vegas",1,0,0,0,0,1,1,2,-127,107,-115,105,-1.5,1.5,225,-275,5.5,105,-125,5.5,100,-120,0,0,25,-142,1,0.534883720930233,0.48780487804878,0.523017193566278,0.476982806433722,0,0,25
"26",2018-10-06,70,69,1,"Arizona","Anaheim",0,0,0,1,0,0,0,1,107,-127,100,-110,1.5,-1.5,-275,225,5.5,-110,-110,5.5,-130,110,0,0,26,-142,1,0.5,0.523809523809524,0.488372093023256,0.511627906976744,0,0,26
"27",2018-10-06,72,71,1,"Colorado","Philadelphia",2,1,1,1,2,0,5,2,-120,100,-105,-105,-1.5,1.5,245,-305,6,-110,-110,6,-110,-110,0,0,27,-142,1,0.51219512195122,0.51219512195122,0.5,0.5,0,0,27
"28",2018-10-06,74,73,1,"Calgary","Vancouver",2,2,1,2,4,0,7,4,-215,180,-210,190,-1.5,1.5,140,-160,6,-115,-105,6,-115,-105,0,0,28,-142,1,0.67741935483871,0.344827586206897,0.662676822633297,0.337323177366703,0,0,28
"29",2018-10-07,2,1,1,"Carolina","NYRangers",2,2,2,2,4,1,8,5,-200,170,-205,185,-1.5,1.5,135,-155,6,-110,-110,6,-115,-105,0,0,29,-141,0,0.672131147540984,0.350877192982456,0.657014337925218,0.342985662074782,0,1,29
"30",2018-10-07,4,3,0,"Chicago","Toronto",2,2,1,2,3,2,6,7,140,-160,130,-140,1.5,-1.5,-240,200,6.5,-110,-110,6.5,-110,-110,0,0,30,-141,0,0.434782608695652,0.583333333333333,0.427046263345196,0.572953736654804,1,1,30
"31",2018-10-07,6,5,1,"LosAngeles","Detroit",0,0,2,1,2,1,4,2,-205,172,-195,175,-1.5,1.5,147,-167,5.5,-130,110,5.5,-125,105,0,0,31,-141,1,0.661016949152542,0.363636363636364,0.645112781954887,0.354887218045113,0,0,31
"32",2018-10-08,52,51,1,"NYIslanders","SanJose",0,0,1,0,3,0,4,0,128,-148,145,-160,1.5,-1.5,-175,155,6,-110,-110,6,-110,-110,0,0,32,-140,1,0.408163265306122,0.615384615384615,0.398773006134969,0.601226993865031,0,0,32
"33",2018-10-08,54,53,1,"Boston","Ottawa",2,0,1,2,3,1,6,3,-260,215,-265,235,-1.5,1.5,-105,-115,6,-110,-110,6,100,-120,0,0,33,-140,1,0.726027397260274,0.298507462686567,0.708640989822391,0.291359010177609,0,0,33
"34",2018-10-08,56,55,1,"Buffalo","Vegas",1,0,3,1,0,1,4,2,118,-138,135,-150,1.5,-1.5,-230,190,5.5,-110,-110,5.5,-105,-115,0,0,34,-140,1,0.425531914893617,0.6,0.4149377593361,0.5850622406639,0,0,34
"35",2018-10-08,58,57,1,"Anaheim","Detroit",0,1,1,1,1,0,3,2,-210,176,-185,165,-1.5,1.5,140,-160,5.5,-110,-110,5.5,-130,110,0,0,35,-140,0,0.649122807017544,0.377358490566038,0.63237665269268,0.36762334730732,0,1,35
"36",2018-10-09,2,1,1,"Columbus","Colorado",2,0,0,2,3,0,5,2,-150,130,-147,133,-1.5,1.5,185,-215,6,-110,-110,6,-125,105,0,0,36,-139,1,0.595141700404858,0.429184549356223,0.581007955759868,0.418992044240132,0,0,36
"37",2018-10-09,4,3,1,"Philadelphia","SanJose",0,4,1,1,1,3,2,8,100,-120,-115,105,-1.5,1.5,225,-275,6,-110,-110,6,-115,-105,0,0,37,-139,0,0.534883720930233,0.48780487804878,0.523017193566278,0.476982806433722,0,1,37
"38",2018-10-09,6,5,1,"Carolina","Vancouver",3,1,1,2,1,0,5,3,-180,155,-190,170,-1.5,1.5,145,-165,6,-110,-110,6,-115,-105,0,0,38,-139,1,0.655172413793103,0.37037037037037,0.638854296388543,0.361145703611457,0,0,38
"39",2018-10-09,8,7,1,"Nashville","Calgary",0,1,0,1,0,1,0,3,-175,151,-160,145,-1.5,1.5,170,-200,6,-110,-110,6,-120,100,0,0,39,-139,1,0.615384615384615,0.408163265306122,0.601226993865031,0.398773006134969,0,0,39
"40",2018-10-09,10,9,1,"Winnipeg","LosAngeles",1,1,1,0,0,0,2,1,-185,160,-190,170,-1.5,1.5,150,-170,5.5,-110,-110,6,-115,-105,0,0,40,-139,1,0.655172413793103,0.37037037037037,0.638854296388543,0.361145703611457,0,0,40
"41",2018-10-09,12,11,1,"Dallas","Toronto",1,2,2,3,1,2,4,7,-120,100,-125,115,-1.5,1.5,200,-240,6,-110,-110,6.5,-110,-110,0,0,41,-139,1,0.555555555555556,0.465116279069767,0.544303797468354,0.455696202531646,0,0,41
"42",2018-10-10,52,51,1,"Ottawa","Philadelphia",1,1,2,3,1,3,4,7,108,-128,122,-132,1.5,-1.5,-235,195,6.5,-105,-115,6.5,-110,-110,0,0,42,-138,0,0.45045045045045,0.568965517241379,0.441871095535578,0.558128904464422,0,1,42
"43",2018-10-10,54,53,1,"Washington","Vegas",1,0,1,1,3,1,5,2,-143,123,-145,132,-1.5,1.5,185,-215,6,-110,-110,6,-110,-110,0,0,43,-138,1,0.591836734693878,0.431034482758621,0.578603371173031,0.421396628826969,0,0,43
"44",2018-10-10,56,55,1,"Anaheim","Arizona",1,1,1,1,0,0,2,3,-165,144,-150,135,-1.5,1.5,190,-220,5.5,-110,-110,5.5,-140,120,0,0,44,-138,1,0.6,0.425531914893617,0.5850622406639,0.4149377593361,0,0,44
"45",2018-10-11,2,1,1,"Pittsburgh","Vegas",1,1,3,0,0,1,4,2,-180,160,-180,160,-1.5,1.5,145,-165,6.5,-110,-110,6.5,-105,-115,0,0,45,-137,0,0.642857142857143,0.384615384615385,0.625668449197861,0.374331550802139,0,1,45
"46",2018-10-11,4,3,1,"Florida","Columbus",1,2,3,1,0,2,4,5,-135,115,-134,124,-1.5,1.5,210,-260,5.5,-110,-110,6,-110,-110,0,0,46,-137,1,0.572649572649573,0.446428571428571,0.561929010034447,0.438070989965553,0,0,46
"47",2018-10-11,6,5,1,"Buffalo","Colorado",0,3,1,1,0,2,1,6,-115,-105,110,-120,1.5,-1.5,-270,220,6,-110,-110,6,-120,100,0,0,47,-137,1,0.476190476190476,0.545454545454545,0.466101694915254,0.533898305084746,0,0,47
"48",2018-10-11,8,7,1,"NewJersey","Washington",2,0,1,0,3,0,6,0,-130,110,-117,107,-1.5,1.5,235,-295,6,-110,-110,6.5,-115,-105,0,0,48,-137,0,0.539170506912442,0.483091787439614,0.52742873320412,0.47257126679588,0,1,48
"49",2018-10-11,10,9,1,"NYRangers","SanJose",1,1,0,1,1,0,3,2,151,-175,135,-150,1.5,-1.5,-215,185,6,-110,-110,6,-110,-110,0,0,49,-137,1,0.425531914893617,0.6,0.4149377593361,0.5850622406639,0,0,49
"50",2018-10-11,12,11,1,"Boston","Edmonton",3,1,0,0,1,0,4,1,-165,144,-160,145,-1.5,1.5,170,-200,6,-110,-110,6,-110,-110,0,0,50,-137,1,0.615384615384615,0.408163265306122,0.601226993865031,0.398773006134969,0,0,50
"51",2018-10-11,14,13,1,"TampaBay","Vancouver",1,0,0,0,0,4,1,4,-275,226,-280,245,-1.5,1.5,100,-120,6.5,-110,-110,6,100,-120,0,0,51,-137,1,0.736842105263158,0.289855072463768,0.717682020802377,0.282317979197623,0,0,51
"52",2018-10-11,16,15,1,"Detroit","Toronto",1,1,0,2,2,2,3,5,155,-180,145,-160,1.5,-1.5,-175,155,6.5,-110,-110,6.5,-120,100,0,0,52,-137,1,0.408163265306122,0.615384615384615,0.398773006134969,0.601226993865031,0,0,52
"53",2018-10-11,18,17,1,"Montreal","LosAngeles",0,2,0,0,0,1,0,3,-130,110,-110,100,-1.5,1.5,245,-305,5.5,-110,-110,5.5,-120,100,0,0,53,-137,1,0.523809523809524,0.5,0.511627906976744,0.488372093023256,0,0,53
"54",2018-10-11,20,19,1,"Nashville","Winnipeg",0,0,1,0,2,0,3,0,-135,115,-130,120,-1.5,1.5,210,-260,6,-110,-110,6,-125,105,0,0,54,-137,1,0.565217391304348,0.454545454545455,0.554263565891473,0.445736434108527,0,0,54
"55",2018-10-11,22,21,1,"St.Louis","Calgary",3,1,2,0,0,2,5,3,-140,120,-125,115,-1.5,1.5,225,-275,6,-110,-110,6,-120,100,0,0,55,-137,1,0.555555555555556,0.465116279069767,0.544303797468354,0.455696202531646,0,0,55
"56",2018-10-11,24,23,1,"Minnesota","Chicago",0,2,2,0,1,1,4,3,-170,148,-165,150,-1.5,1.5,175,-205,6,-110,-110,6,-115,-105,0,0,56,-137,1,0.622641509433962,0.4,0.608856088560886,0.391143911439114,0,0,56
"57",2018-10-13,52,51,1,"Philadelphia","Vegas",0,0,0,0,0,1,0,1,-134,114,-110,100,-1.5,1.5,245,-305,6,100,-120,6,100,-120,0,0,57,-135,1,0.523809523809524,0.5,0.511627906976744,0.488372093023256,0,0,57
"58",2018-10-13,54,53,1,"NYRangers","Edmonton",1,1,0,0,0,1,1,2,-103,-117,-105,-105,1.5,-1.5,-295,235,6,-115,-105,6,-115,-105,0,0,58,-135,1,0.51219512195122,0.51219512195122,0.5,0.5,0,0,58
"59",2018-10-13,56,55,1,"Ottawa","LosAngeles",3,0,1,1,1,0,5,1,125,-145,132,-145,1.5,-1.5,-210,180,6,-115,-105,6,-115,-105,0,0,59,-135,1,0.431034482758621,0.591836734693878,0.421396628826969,0.578603371173031,0,0,59
